"id","item","iTRANSLATION","texteffect","countset","chislo"
"1493","HIGHRIDGE","Highridge","+86 to Physical Armor","6","86"
"1495","HIGHRIDGE","Highridge","+12% Melee Weapon Damage bonus","7","12"
"1497","HIGHRIDGE","Highridge","25% chance to Stun target for 2 sec.","8","25"
"1499","HIGHRIDGE","Highridge","100% bonus to Critical Damage","9","100"
"1501","INQUISITOR","Inquisitor","1% Mana stolen","2","1"
"1503","INQUISITOR","Inquisitor","+1 seconds of Burn/Shock/Freeze/Poison","3","1"
"1505","INQUISITOR","Inquisitor","+6% Cast Speed","4","6"
"1507","INQUISITOR","Inquisitor","+6% to All Damage","5","6"
"1509","INQUISITOR","Inquisitor","+39 Focus Attribute bonus","6","39"
"1511","INQUISITOR","Inquisitor","+35 Knockback","7","35"
"1513","INQUISITOR","Inquisitor","25% chance to immobilize Target for 4 sec.","8","25"
"1515","INQUISITOR","Inquisitor","+15% Mana","9","15"
"1517","JANISSARY","Janissary","+2% Mana","2","2"
"1519","JANISSARY","Janissary","+2% to All Damage","3","2"
"1521","JANISSARY","Janissary","+6% Cast Speed","4","6"
"1523","JANISSARY","Janissary","+6% Mana","5","6"
"1525","JANISSARY","Janissary","+16 to Physical Armor","6","16"
"1527","JANISSARY","Janissary","+50% to Ice Damage","7","50"
"1529","OUTLANDER_B15","Falcon","+23% Attack Speed","2","23"
"1531","OUTLANDER_B25","Outlaw","+4% Critical Hit Chance","2","4"
"1533","OUTLANDER_B25","Outlaw","28% Damage bonus when dual-wielding","3","28"
"1535","OUTLANDER_B25","Outlaw","+20 Knockback","2","20"
"1537","OUTLANDER_FINAL","Unearthly","Silence for 2 sec.","2","2"
"1539","OUTLANDER_FINAL","Unearthly","-141 to All Armor per hit","3","141"
"1541","OUTLANDER_FINAL","Unearthly","2320 Physical Damage over 5 sec.","4","2320"
"1543","OUTLANDER_FINAL","Unearthly","+5m to Bow, Crossbow, Pistol and Wand range","5","5"
"1545","OUTLANDER_FINAL","Unearthly","+20% Ranged Weapon Damage bonus","6","20"
"1547","OUTLANDER_FINAL","Unearthly","203 Health stolen on hit","7","203"
"1549","OUTLANDER_FINAL","Unearthly","+18% Attack Speed","8","18"
"1551","OUTLANDER_FINAL","Unearthly","50% chance to Stun target for 2 sec.","9","50"
"1553","OUTLANDER_FINAL","Unearthly","100% chance to Poison for 5 sec.","10","100"
"1555","OUTLANDER_TRINKETS_LORE","Lore","6% chance to reflect missiles at 50% weapon DPS","2","6"
"1557","OUTLANDER_TRINKETS_LORE","Lore","15% chance to immobilize Target for 8 sec.","3","15"
"1559","OUTLANDER_TRINKETS_SIGIL","Sigil","+6% to Poison Damage","2","6"
"1561","OUTLANDER_TRINKETS_SIGIL","Sigil","3 Health recovery per second","3","3"
"1563","OUTLANDER_TRINKETS_WARFARE","Warfare","+8% Ranged Weapon Damage bonus","2","8"
"1565","OUTLANDER_TRINKETS_WARFARE","Warfare","+8% Attack Speed","3","8"
"1567","OUTLANDER_U40","Leone","6% chance to charm target for 5 sec.","2","6"
"1569","OUTLANDER_U40","Leone","10% chance to charm target for 60 sec.","3","10"
"1571","OUTLANDER_U55","Sollima"," Charge  rate increased by 15%","2","15"
"1573","OUTLANDER_U55","Sollima","+100% chance to Execute","3","100"
"1575","OUTLANDER_U75","Corbucci","+144 Poison Armor","2","144"
"1577","OUTLANDER_U75","Corbucci","20% chance to Poison for 5 sec.","3","20"
"1579","OUTLANDER_U75","Corbucci","+25% to Poison Damage","4","25"
"1581","REGENT","Regent","+3% Attack Speed","2","3"
"1583","REGENT","Regent","20% Health stolen","3","20"
"1585","REGENT","Regent","+12% Melee Weapon Damage bonus","4","12"
"1599","SENTINAL","Sentinel","1% Mana stolen","2","1"
"1601","SENTINAL","Sentinel","+2% to All Damage","3","2"
"1603","SENTINAL","Sentinel","2% Mana stolen","4","2"
"1605","SENTINAL","Sentinel","+4% to All Damage","5","4"
"1607","SENTINAL","Sentinel","3% Mana stolen","6","3"
"1609","SENTINAL","Sentinel","+6% to All Damage","7","6"
"1611","SENTINAL","Sentinel","+10% to All Damage","8","10"
"1613","SENTINAL","Sentinel","+33% Cast Speed","9","33"
"1615","STURMBEORN","Runemaster","+3% Attack Speed","2","3"
"1617","STURMBEORN","Runemaster","+12% Health","3","12"
"1629","TWINFERNO","Twinferno","12% Damage bonus when dual-wielding","2","12"
"1631","TWOSTROKE","Two Stroke","+30% Attack Speed","2","30"
"1633","U_ARGONAUT","Argonaut","4% faster movement speed","2","4"
"1635","U_ARGONAUT","Argonaut","2% increase in the amount of experience gained","3","2"
"1637","U_ARGONAUT","Argonaut","6% increase in the amount of gold found","4","6"
"1639","U_ARGONAUT","Argonaut","10% chance to Freeze for 5 sec.","5","10"
"1641","U_ARGONAUT","Argonaut","All Damage Taken is reduced by -5%","6","5"
"1643","U_ARGONAUT","Argonaut","+10% to Physical Armor","7","10"
"1645","U_ARGONAUT","Argonaut","+10% Critical Hit Chance","8","10"
"1647","U_ARGONAUT","Argonaut","12% increase in magic-finding Luck","9","12"
"1649","U_CABALIST","Cabalist","+2% to All Damage","2","2"
"1651","U_CABALIST","Cabalist","+20% to Fire Damage","3","20"
"1653","U_CABALIST","Cabalist","3% Mana stolen","4","3"
"1655","U_CELESTIAL","Celestial","+5% to Electric Damage","2","5"
"1656","U_CELESTIAL","Celestial","+5% to Fire Damage","2","5"
"1657","U_CELESTIAL","Celestial","+5% to Ice Damage","2","5"
"1658","U_CELESTIAL","Celestial","+5% to Poison Damage","2","5"
"1660","U_CELESTIAL","Celestial","+6% Attack Speed","3","6"
"1662","U_CELESTIAL","Celestial","+9% Cast Speed","4","9"
"1664","U_CELESTIAL","Celestial","+3% Critical Hit Chance","5","3"
"1666","U_CELESTIAL","Celestial","+139 Poison Armor","6","139"
"1667","U_CELESTIAL","Celestial","+139 Ice Armor","6","139"
"1668","U_CELESTIAL","Celestial","+139 Fire Armor","6","139"
"1669","U_CELESTIAL","Celestial","+139 Electric Armor","6","139"
"1671","U_CELESTIAL","Celestial","+15% to Physical Armor","7","15"
"1673","U_CELESTIAL","Celestial","All Damage Taken is reduced by -20%","8","20"
"1675","U_CELESTIAL","Celestial","100% chance to Burn for 5 sec.","9","100"
"1677","U_EMBERCRAFT","Embercraft","+4% Mana","2","4"
"1679","U_EMBERCRAFT","Embercraft","+4% to All Damage","3","4"
"1681","U_EMBERCRAFT","Embercraft","+12% Mana","4","12"
"1683","U_EMBERCRAFT","Embercraft","3% Mana stolen","5","3"
"1685","U_EMBERCRAFT","Embercraft","All Damage Taken is reduced by -5%","6","5"
"1687","U_EMBERCRAFT","Embercraft","+15% to Electric Damage","7","15"
"1688","U_EMBERCRAFT","Embercraft","+15% to Fire Damage","7","15"
"1689","U_EMBERCRAFT","Embercraft","+15% to Ice Damage","7","15"
"1690","U_EMBERCRAFT","Embercraft","+15% to Poison Damage","7","15"
"1692","U_EMBERWEAVE","Emberweave","+10% to Ice Damage","2","10"
"1694","U_EMBERWEAVE","Emberweave","+20% to Fire Damage","3","20"
"1696","U_EMBERWEAVE","Emberweave","+30% to Poison Damage","4","30"
"1698","U_EMBERWEAVE","Emberweave","+30% to Electric Damage","5","30"
"1700","U_EMBERWEAVE","Emberweave","40% Health stolen","6","40"
"1702","U_EMBERWEAVE","Emberweave","5% Mana stolen","7","5"
"1704","U_EMBERWEAVE","Emberweave","7% chance that target Flees for 12 sec.","8","7"
"1706","U_EMBERWEAVE","Emberweave","+33% Cast Speed","9","33"
"1708","U_FERAL","Feral","+30% Damage to secondary targets","2","30"
"1710","U_FERAL","Feral"," Charge  rate increased by 10%","3","10"
"1712","U_FERAL","Feral","+75% Damage to secondary targets","4","75"
"1714","U_FERAL","Feral"," Charge  rate increased by 20%","5","20"
"1716","U_FERAL","Feral","40% Health stolen","6","40"
"1718","U_FORGECRAFTED","Forgecrafted","+24 to Physical Armor","2","24"
"1720","U_FORGECRAFTED","Forgecrafted","All Damage Taken is reduced by -2%","3","2"
"1722","U_FORGECRAFTED","Forgecrafted","+10% Health","4","10"
"1724","U_FORGECRAFTED","Forgecrafted","+6% to Physical Armor","5","6"
"1726","U_FORGECRAFTED","Forgecrafted","10% chance to Block","6","10"
"1728","U_GRAND_ARCHITECT","Cornerstone","+3% Attack Speed","2","3"
"1730","U_GRAND_ARCHITECT","Cornerstone","+2% Critical Hit Chance","3","2"
"1732","U_GRAND_ARCHITECT","Cornerstone","+9% Attack Speed","4","9"
"1734","U_GRAND_ARCHITECT","Cornerstone","+3% Critical Hit Chance","5","3"
"1736","U_GRAND_ARCHITECT","Cornerstone","30% chance to reflect missiles at 50% weapon DPS","6","30"
"1738","U_GRAND_ARCHITECT","Cornerstone","+20% Melee Weapon Damage bonus","7","20"
"1740","U_GRAND_ARCHITECT","Cornerstone","80% bonus to Critical Damage","8","80"
"1742","U_GRAND_ARCHITECT","Cornerstone","189 Health stolen on hit","9","189"
"1744","U_INCUBUS","Incubus","+5% pet and minion Armor","2","5"
"1746","U_INCUBUS","Incubus","+8% Mana","3","8"
"1748","U_INCUBUS","Incubus","+15% pet and minion Damage","4","15"
"1750","U_INCUBUS","Incubus","18% chance to reflect missiles at 50% weapon DPS","5","18"
"1752","U_INCUBUS","Incubus","+15% Cast Speed","6","15"
"1754","U_INCUBUS","Incubus","5% Mana stolen","7","5"
"1756","U_LABARINTO","Labarinto","+3% Cast Speed","2","3"
"1758","U_LABARINTO","Labarinto","+6% Attack Speed","3","6"
"1760","U_LABARINTO","Labarinto","+3m to Bow, Crossbow, Pistol and Wand range","4","3"
"1762","U_LABARINTO","Labarinto","40% bonus to Critical Damage","5","40"
"1764","U_LABARINTO","Labarinto","+8% Critical Hit Chance","6","8"
"1766","U_LABARINTO","Labarinto","+80 Knockback","7","80"
"1768","U_LIBERATION","Liberation","1% Mana stolen","2","1"
"1770","U_LIBERATION","Liberation","+6% Cast Speed","3","6"
"1772","U_LIBERATION","Liberation","+3% Critical Hit Chance","4","3"
"1774","U_LIBERATION","Liberation","+35 Knockback","5","35"
"1776","U_LIBERATION","Liberation","5% Mana stolen","6","5"
"1778","U_MACHINE_FORGED","Machine Forged","+4% Melee Weapon Damage bonus","2","4"
"1780","U_MACHINE_FORGED","Machine Forged","20% Health stolen","3","20"
"1782","U_MACHINE_FORGED","Machine Forged","+8% Attack Speed","4","8"
"1784","U_MACHINE_FORGED","Machine Forged","+20% Melee Weapon Damage bonus","5","20"
"1786","U_MERCILESS","Merciless","+1% Critical Hit Chance","2","1"
"1788","U_MERCILESS","Merciless","5% chance to Poison for 5 sec.","3","5"
"1790","U_MERCILESS","Merciless","+6% to All Damage","4","6"
"1792","U_MERCILESS","Merciless","8% faster movement speed","5","8"
"1794","U_NECROTIC","Necros","+3% Attack Speed","2","3"
"1796","U_NECROTIC","Necros","+6% Cast Speed","3","6"
"1798","U_NECROTIC","Necros","+8% Mana","4","8"
"1800","U_NECROTIC","Necros","+12% Health","5","12"
"1802","U_NECROTIC","Necros","+25 Poison Armor","6","25"
"1803","U_NECROTIC","Necros","+25 Ice Armor","6","25"
"1804","U_NECROTIC","Necros","+25 Fire Armor","6","25"
"1805","U_NECROTIC","Necros","+25 Electric Armor","6","25"
"1823","U_OBSCURE","Obscure Tools","+5% pet and minion Damage","2","5"
"1825","U_OBSCURE","Obscure Tools","+8% Health","3","8"
"1827","U_OBSCURE","Obscure Tools","+15% pet and minion Armor","4","15"
"1829","U_OBSCURE","Obscure Tools","+6% to Physical Armor","5","6"
"1831","U_OBSCURE","Obscure Tools"," Charge  rate increased by 20%","6","20"
"1833","U_OBSCURE","Obscure Tools","90 Health stolen on hit","7","90"
"1835","U_PLAINSLORD","Plainslord","+1% Critical Hit Chance","2","1"
"1837","U_PLAINSLORD","Plainslord","Silence for 2 sec.","3","2"
"1839","U_PLAINSLORD","Plainslord","+30% to Fire Damage","4","30"
"1841","U_PLAINSLORD","Plainslord","40% Health stolen","5","40"
"1843","U_RAILFORGED","Railforged","+9 to Physical Armor","2","9"
"1845","U_RAILFORGED","Railforged","All Damage Taken is reduced by -2%","3","2"
"1847","U_RAILFORGED","Railforged","+12% Health","4","12"
"1849","U_SAVAGE","Savage","5% chance to Stun target for 2 sec.","2","5"
"1851","U_SAVAGE","Savage","+6% Attack Speed","3","6"
"1853","U_SAVAGE","Savage","+3% Critical Hit Chance","4","3"
"1855","U_SAVAGE","Savage","40% bonus to Critical Damage","5","40"
"1857","U_SAVAGE","Savage","+50% to Poison Damage","6","50"
"1859","U_SAVAGE","Savage","80% bonus to Critical Damage","7","80"
"1861","U_SPELLWEAVER","Spellweaver","+1% Critical Hit Chance","2","1"
"1863","U_SPELLWEAVER","Spellweaver","+6% Cast Speed","3","6"
"1865","U_SPELLWEAVER","Spellweaver","+12% Mana","4","12"
"1867","U_SPELLWEAVER","Spellweaver","+60 Knockback","5","60"
"1869","U_TRUE_NORTH","True North","+6 Vitality Attribute bonus","2","6"
"1871","U_TRUE_NORTH","True North","+6% Attack Speed","3","6"
"1873","U_TRUE_NORTH","True North","30% Health stolen","4","30"
"1875","U_WANDERLUST","Wanderlust","+1m to Bow, Crossbow, Pistol and Wand range","2","1"
"1877","U_WANDERLUST","Wanderlust","+20 Knockback","3","20"
"1879","U_WANDERLUST","Wanderlust","+8% Attack Speed","4","8"
"1881","VALKYRIE","Valkyrie","6% chance to reflect missiles at 50% weapon DPS","2","6"
"1883","VALKYRIE","Valkyrie","+6% Cast Speed","3","6"
"1885","VALKYRIE","Valkyrie","+20% to Poison Damage","4","20"
"1887","VALKYRIE","Valkyrie","9% chance to immobilize Target for 8 sec.","5","9"
"1889","VALKYRIE","Valkyrie","+3m to Bow, Crossbow, Pistol and Wand range","6","3"
"1891","VALKYRIE","Valkyrie","10% chance to cast Raise Shadowling on kill","7","10"
"1893","VALKYRIE","Valkyrie","+20% Ranged Weapon Damage bonus","8","20"
"1895","VALKYRIE","Valkyrie","+100% Potion effectiveness","9","100"
"1897","WAZIR","Wazir","1 Mana recovery per second","2","1"
"1899","WAZIR","Wazir","All Damage Taken is reduced by -3%","3","3"
"1901","WAZIR","Wazir","6% chance to reflect missiles at 50% weapon DPS","4","6"
"1903","WAZIR","Wazir","14 Health recovery per second","5","14"
"1905","WAZIR","Wazir","2 Mana recovery per second","6","2"
"1907","WAZIR","Wazir","All Damage Taken is reduced by -20%","7","20"
"1909","WILDWOOD","Wildwood","+10% to Electric Damage","2","10"
"1911","WILDWOOD","Wildwood","+10% to Poison Damage","3","10"
"1913","WILDWOOD","Wildwood","+20% to Fire Damage","4","20"
"1915","WILDWOOD","Wildwood","+20% to Ice Damage","5","20"
"1917","WILDWOOD","Wildwood","+15% to Electric Damage","6","15"
"1918","WILDWOOD","Wildwood","+15% to Fire Damage","6","15"
"1919","WILDWOOD","Wildwood","+15% to Ice Damage","6","15"
"1920","WILDWOOD","Wildwood","+15% to Poison Damage","6","15"
"1922","WILDWOOD","Wildwood","10% increase in the amount of experience gained","7","10"
"1924","WILDWOOD","Wildwood","10% increase in magic-finding Luck","7","10"
"1926","ZERAPHI","Zeraphi Alchemy","+1m to Bow, Crossbow, Pistol and Wand range","2","1"
"1928","ZERAPHI","Zeraphi Alchemy","+3% Attack Speed","3","3"
"1930","ZERAPHI","Zeraphi Alchemy","+8% Mana","4","8"
"1932","ZERAPHI","Zeraphi Alchemy","+6% Cast Speed","5","6"
"1934","ZERAPHI","Zeraphi Alchemy","+35% to Electric Damage","6","35"
