"id","item","texteffect","chislo"
"36","crossbow_u02c","-5 to All Armor per hit","5"
"37","crossbow_u02c","+4 Mana","4"
"38","crossbow_u02c","3% chance to reflect missiles at 50% weapon DPS","3"
"39","crossbow_u02c","+5% pet and minion Armor","5"
"40","crossbow_u02c","20% chance to break enemy shields","20"
"41","crossbow_u02c"," Charge  decay rate decreased by -10%","10"
"42","crossbow_u02c","3% reduction in Fumble Chance","3"
"43","crossbow_u02c","10% reduction in Fumble Damage Penalty","10"
"44","crossbow_u02c","2% chance to Stun target for 5 sec.","2"
"45","crossbow_u02c","Silence for 1 sec.","1"
"46","crossbow_u02c","4% faster movement speed","4"
"47","crossbow_u03"," Augmented Weapon:     ",""
"48","crossbow_u03"," Kill 50 Tu`tarans to Upgrade ","50"
"49","crossbow_u03","-20 to All Armor per hit","20"
"50","crossbow_u03","1% chance to cast Fully Heal Self on kill","1"
"51","crossbow_u03","------------------",""
"52","crossbow_u03","-46 to All Armor per hit","46"
"53","crossbow_u03b"," Augmented Weapon:     ",""
"54","crossbow_u03b"," Kill 100 Undead Creatures to Upgrade ","100"
"55","crossbow_u03b","34 Health stolen on hit","34"
"56","crossbow_u03b","8 Mana stolen on hit","8"
"57","crossbow_u03b","------------------",""
"58","crossbow_u03b","40% bonus to Critical Damage","40"
"59","crossbow_u03b","5% chance to Poison for 5 sec.","5"
"60","crossbow_u03b","3% chance to cast Acid Rain from target","3"
"61","crossbow_u03b","+25 Poison Armor","25"
"62","crossbow_u03c","+71 Physical Damage","71"
"63","crossbow_u03c","6% chance that target Flees for 3 sec.","6"
"64","crossbow_u03c","+30 Knockback","30"
"65","crossbow_u04","10% chance to Shock for 5 sec.","10"
"66","crossbow_u04","20% chance that target Flees for 3 sec.","20"
"67","crossbow_u04","5% chance to cast Thunder from target","5"
"68","crossbow_u04b","+8% Critical Hit Chance","8"
"69","crossbow_u04b","+15% to Fire Damage","15"
"70","crossbow_u04b","+15% to Poison Damage","15"
"71","crossbow_u04c","+3% Cast Speed","3"
"72","crossbow_u04c","20% bonus to Critical Damage","20"
"73","crossbow_u04c","+8 Dexterity Attribute bonus","8"
"74","crossbow_u04c","17 Health stolen on hit","17"
"75","crossbow_u04c","3% increase in magic-finding Luck","3"
"76","crossbow_u04c","+1m to Bow, Crossbow, Pistol and Wand range","1"
"77","crossbow_u04c","All Damage Taken is reduced by -1,1% ","1"
"78","crossbow_u04c"," Charge  rate increased by 10%","10"
"79","crossbow_u05","1713 Physical Damage over 3 sec.","1713"
"80","crossbow_u05","30% reduction in Fumble Chance","30"
"81","crossbow_u05b","-114 to All Armor per hit","114"
"82","crossbow_u05b"," Charge  rate increased by 10%","10"
"83","crossbow_u05b","6% chance to Stun target for 5 sec.","6"
"84","crossbow_u05c"," Augmented Weapon:     ",""
"85","crossbow_u05c"," Kill 200 Spiders to Upgrade ","200"
"86","crossbow_u05c","+168 Physical Damage","168"
"87","crossbow_u05c","10% chance to Poison for 5 sec.","10"
"88","crossbow_u05c","10% chance to cast Meteor Strike from target","10"
"89","crossbow_u05c","------------------",""
"90","crossbow_u05c","+6% Cast Speed","6"
"91","crossbow_u05c","43 Health stolen on hit","43"
"92","crossbow_u05c","+3m to Bow, Crossbow, Pistol and Wand range","3"
"93","crossbow_u05c","+25% pet and minion Health","25"
"94","crossbow_u06","+30% Attack Speed","30"
"95","crossbow_u06b","+8% to Electric Damage","8"
"96","crossbow_u06b","+8% to Fire Damage","8"
"97","crossbow_u06b","+8% to Ice Damage","8"
"98","crossbow_u06b","+8% to Poison Damage","8"
"99","crossbow_u06b","5% chance to Burn for 5 sec.","5"
"100","crossbow_u06b","5% chance to Freeze for 5 sec.","5"
"101","crossbow_u06b","5% chance to Poison for 5 sec.","5"
"102","crossbow_u06b","5% chance to Shock for 5 sec.","5"
"103","crossbow_u06b","+10 Knockback","10"
"104","crossbow_u06c","+5% Attack Speed","5"
"105","crossbow_u06c","+6% Cast Speed","6"
"106","crossbow_u06c","+4% Critical Hit Chance","4"
"107","crossbow_u06c","20% bonus to Critical Damage","20"
"108","crossbow_u06c","-73 to All Armor per hit","73"
"109","crossbow_u07","+10 Knockback","10"
"110","crossbow_u07","15% chance to cast Thunder from target","15"
"111","crossbow_u07","1895 Physical Damage over 5 sec.","1895"
"112","crossbow_u07","10% chance to Stun target for 2 sec.","10"
"113","crossbow_u07b"," Augmented Weapon:     ",""
"114","crossbow_u07b"," Kill 200 Varkolyn to Upgrade ","200"
"115","crossbow_u07b","10% chance to cast Chaotic Rift on strike","10"
"116","crossbow_u07b","+10% to All Damage","10"
"117","crossbow_u07b","------------------",""
"118","crossbow_u07b","+63 Physical Damage","63"
"119","crossbow_u07b"," Charge  rate increased by 20%","20"
"120","crossbow_u07b","Silence for 3 sec.","3"
"121","crossbow_u07b","40% chance to break enemy shields","40"
"122","crossbow_u07c","+3% Attack Speed","3"
"123","crossbow_u07c","+3% Cast Speed","3"
"124","crossbow_u07c","10% bonus to Critical Damage","10"
"125","crossbow_u07c","-48 to All Armor per hit","48"
"126","crossbow_u07c","2% chance that target Flees for 3 sec.","2"
"127","crossbow_u07c","+10 Knockback","10"
"128","crossbow_u07c","+5% pet and minion Armor","5"
"129","crossbow_u07c","+5% pet and minion Damage","5"
"130","crossbow_u07c","+5% pet and minion Health","5"
"131","crossbow_u07c","3% chance to cast Acid Rain from target","3"
"132","crossbow_u07c","475 Physical Damage over 5 sec.","475"
"133","legendary_crossbow01","+30 Knockback","30"
"134","legendary_crossbow01","5% chance to cast Fully Heal Self on kill","5"
"135","legendary_crossbow01","5% chance to cast Meteor Strike on kill","5"
"136","legendary_crossbow01","5% chance to cast Raise Shadowling on kill","5"
"137","legendary_crossbow02","+8% Critical Hit Chance","8"
"138","legendary_crossbow02","+5m to Bow, Crossbow, Pistol and Wand range","5"
"139","legendary_crossbow02","+15% to All Damage","15"
"140","legendary_wand01","5% chance to Poison for 5 sec.","5"
"141","legendary_wand01","+50 Knockback","50"
"142","legendary_wand01","+20% Wand and Staff Damage bonus","20"
"143","legendary_wand02","+15% Cast Speed","15"
"144","legendary_wand02","+25% to Electric Damage","25"
"145","legendary_wand02","25% chance to cast Thunder from target","25"
"146","legendary_wand03","+50 Knockback","50"
"147","legendary_wand03","20% Damage bonus when dual-wielding","20"
"148","legendary_wand03","+25% chance to Execute","25"
"149","legendary_wand04","5% chance that target Flees for 12 sec.","5"
"150","legendary_wand04","100% chance to cast Fire Storm from target","100"
"151","legendary_wand04","4 Mana recovery per second","4"
"152","legendary_wand05","All Damage Taken is reduced by -5% ","5"
"153","legendary_wand05","33% chance to cast Chaotic Rift on strike","33"
"154","legendary_wand05","+10% to All Damage","10"
"155","wand_m01slots","BLANK_NO_EFFECTS",""
"156","wand_m02slots","BLANK_NO_EFFECTS",""
"157","wand_m03slots","BLANK_NO_EFFECTS",""
"158","wand_m04slots","BLANK_NO_EFFECTS",""
"159","wand_m05slots","BLANK_NO_EFFECTS",""
"160","wand_m06slots","BLANK_NO_EFFECTS",""
"161","wand_m07slots","BLANK_NO_EFFECTS",""
"162","wand_m08slots","BLANK_NO_EFFECTS",""
"163","wand_u01","25% chance to immobilize Target for 4 sec.","25"
"164","wand_u01","20% bonus to Critical Damage","20"
"165","wand_u01","+3m to Bow, Crossbow, Pistol and Wand range","3"
"166","wand_u01b","+4 Focus Attribute bonus","4"
"167","wand_u01b","2 Mana stolen on hit","2"
"168","wand_u01b"," Charge  decay rate decreased by -10%","10"
"169","wand_u01b","10 Physical Damage over 5 sec.","10"
"170","wand_u01b","+5% chance to Execute","5"
"171","wand_u01b","3% reduction in Fumble Chance","3"
"172","wand_u01b","+10% to All Damage","10"
"173","wand_u01c","+6% Cast Speed","6"
"174","wand_u01c","10% chance to Freeze for 5 sec.","10"
"175","wand_u01c","10 Mana stolen on hit","10"
"176","wand_u02","+8% Critical Hit Chance","8"
"177","wand_u02"," Charge  rate increased by 5%","5"
"178","wand_u02","+15% chance to Execute","15"
"179","wand_u02","2% chance to Stun target for 5 sec.","2"
"180","wand_u02b"," Augmented Weapon:     ",""
"181","wand_u02b"," Kill 50 Ezrohir to Upgrade ","50"
"182","wand_u02b","6% chance to cast Acid Rain from target","6"
"183","wand_u02b","15% chance to Stun target for 2 sec.","15"
"184","wand_u02b","------------------",""
"185","wand_u02b","40% bonus to Critical Damage","40"
"186","wand_u02b","+25 Physical Damage","25"
"187","wand_u02b","-8 to All Armor per hit","8"
"188","wand_u02c","+20% to All Damage","20"
"189","wand_u02c","10% chance to Stun target for 2 sec.","10"
"190","wand_u02c","Silence for 1 sec.","1"
"191","wand_u02x","100% chance to Poison for 5 sec.","100"
"192","wand_u03","135 Physical Damage over 5 sec.","135"
"193","wand_u03","20% Damage bonus when dual-wielding","20"
"194","wand_u03","3% reduction in Fumble Chance","3"
"195","wand_u03","+10% to All Damage","10"
"196","wand_u03","1% increase in the amount of experience gained","1"
"197","wand_u03b","5% chance to Freeze for 5 sec.","5"
"198","wand_u03b","1% chance that target Flees for 12 sec.","1"
"199","wand_u03b","+10 Knockback","10"
"200","wand_u03b","5% chance to immobilize Target for 4 sec.","5"
"201","wand_u03b","+6 Focus Attribute bonus","6"
"202","wand_u03b","3 Mana stolen on hit","3"
"203","wand_u03b","+1m to Bow, Crossbow, Pistol and Wand range","1"
"204","wand_u03b","+5% pet and minion Health","5"
"205","wand_u03b"," Charge  rate increased by 5%","5"
"206","wand_u03b","+13 Ice Armor","13"
"207","wand_u03b","+3% to Ice Damage","3"
"208","wand_u03c","3 Mana stolen on hit","3"
"209","wand_u03c","+10% pet and minion Armor","10"
"210","wand_u03c","+10% pet and minion Damage","10"
"211","wand_u03c"," Charge  rate increased by 10%","10"
"212","wand_u03c","10% chance to charm target for 5 sec.","10"
"213","wand_u03_set_shockshards","20% chance to Shock for 5 sec.","20"
"214","wand_u03_set_shockshards","3% increase in magic-finding Luck","3"
"215","wand_u03_set_shockshards"," Charge  rate increased by 15%","15"
"216","wand_u03_set_shockshards","6% chance to Stun target for 5 sec.","6"
"217","wand_u04"," Augmented Weapon:     ",""
"218","wand_u04"," Kill 20 Spiders to Upgrade ","20"
"219","wand_u04","+45 Physical Damage","45"
"220","wand_u04","5% chance to Poison for 5 sec.","5"
"221","wand_u04","5% chance to cast Scalding Geyser from target","5"
"222","wand_u04","------------------",""
"223","wand_u04","+8% Attack Speed","8"
"224","wand_u04","+9% Cast Speed","9"
"225","wand_u04","+2% Critical Hit Chance","2"
"226","wand_u04","10% bonus to Critical Damage","10"
"227","wand_u04","+10% to Ice Damage","10"
"228","wand_u04b"," Augmented Weapon:     ",""
"229","wand_u04b"," Kill 50 Netherim to Upgrade ","50"
"230","wand_u04b","10% chance to cast Glacial Spike from target","10"
"231","wand_u04b","325 Physical Damage over 5 sec.","325"
"232","wand_u04b","------------------",""
"233","wand_u04b","2% chance that target Flees for 12 sec.","2"
"234","wand_u04b","31 Health stolen on hit","31"
"235","wand_u04b","+22 Focus Attribute bonus","22"
"236","wand_u04b","+2m to Bow, Crossbow, Pistol and Wand range","2"
"237","wand_u04c","5% chance to Shock for 5 sec.","5"
"238","wand_u04c","10% chance that target Flees for 12 sec.","10"
"239","wand_u04c","265 Physical Damage over 5 sec.","265"
"240","wand_u04x","10% chance to cast Raise Shadowling on kill","10"
"241","wand_u04x","+144 Fire Armor","144"
"242","wand_u04x","+144 Poison Armor","144"
"243","wand_u04x","40% chance to break enemy shields","40"
"244","wand_u05","19 Mana stolen on hit","19"
"245","wand_u05","All Damage Taken is reduced by -2% ","2"
"246","wand_u05","+25% pet and minion Damage","25"
"247","wand_u05","+5% Potion effectiveness","5"
"248","wand_u05b","+2% to Physical Armor","2"
"249","wand_u05b","+3% Cast Speed","3"
"250","wand_u05b","10% bonus to Critical Damage","10"
"251","wand_u05b","-23 to All Armor per hit","23"
"252","wand_u05b","+10% to Electric Damage","10"
"253","wand_u05b"," Charge  rate increased by 5%","5"
"254","wand_u05b","4% Damage bonus when dual-wielding","4"
"255","wand_u05b","+10% chance to Execute","10"
"256","wand_u05b","5% chance to Stun target for 2 sec.","5"
"257","wand_u05c","+5m to Bow, Crossbow, Pistol and Wand range","5"
"258","wand_u05c","+15% to Fire Damage","15"
"259","wand_u05c"," Charge  rate increased by 5%","5"
"260","wand_u05c","+27 Fire Armor","27"
"261","wand_u05c","50% reduction in Fumble Chance","50"
"262","wand_u05x","16 Health stolen on hit","16"
"263","wand_u05x","1% increase in magic-finding Luck","1"
"264","wand_u05x","4 Mana stolen on hit","4"
"265","wand_u05x","+10% Potion effectiveness","10"
"266","wand_u05x","5% chance to cast Chaotic Rift on strike","5"
"267","wand_u05x","5% chance to cast Meteor Strike on kill","5"
"268","wand_u05x","1% chance to charm target for 20 sec.","1"
"269","wand_u06","5 Mana stolen on hit","5"
"270","wand_u06","+1m to Bow, Crossbow, Pistol and Wand range","1"
"271","wand_u06","+15% to Electric Damage","15"
"272","wand_u06","20% Damage bonus when dual-wielding","20"
"273","wand_u06","+10% chance to Execute","10"
"274","wand_u06b"," Augmented Weapon:     ",""
"275","wand_u06b"," Kill 200 Mycons to Upgrade ","200"
"276","wand_u06b","15% chance to cast Raise Shadowling on kill","15"
"277","wand_u06b","50% Immobilization Resistance","50"
"278","wand_u06b","------------------",""
"279","wand_u06b","+4% Critical Hit Chance","4"
"280","wand_u06b","20% bonus to Critical Damage","20"
"281","wand_u06b","-66 to All Armor per hit","66"
"282","wand_u06b","+5% chance to Execute","5"
"283","wand_u06b","10% chance to Stun target for 2 sec.","10"
"284","wand_u06c","+12% Critical Hit Chance","12"
"285","wand_u06c","4% increase in the amount of gold found","4"
"286","wand_u06c","+8% Wand and Staff Damage bonus","8"
"287","wand_u06c","+7 Mana","7"
"288","wand_u06x","-7 to All Armor per hit","7"
"289","wand_u06x","+5% to Poison Damage","5"
"290","wand_u06x","3% chance to cast Acid Rain from target","3"
"291","wand_u06x","2% chance to cast Fully Heal Self on kill","2"
"292","wand_u06x","-2 to all item character stat requirements","2"
"293","wand_u06x","9% chance to immobilize Target for 8 sec.","9"
"294","wand_u07","-121 to All Armor per hit","121"
"295","wand_u07","5% chance to Burn for 5 sec.","5"
"296","wand_u07","5% chance to Freeze for 5 sec.","5"
"297","wand_u07","20% chance to Poison for 5 sec.","20"
"298","wand_u07","5% chance to cast Lightning from target","5"
"299","wand_u07b"," Augmented Weapon:     ",""
"300","wand_u07b"," Kill 1000 Undead Creatures to Upgrade ","1000"
"301","wand_u07b","141 Health stolen on hit","141"
"302","wand_u07b","27 Mana stolen on hit","27"
"303","wand_u07b","------------------",""
"304","wand_u07b","+5% Attack Speed","5"
"305","wand_u07b","+6% Cast Speed","6"
"306","wand_u07b","+25% chance to Execute","25"
"307","wand_u07c","+9% Cast Speed","9"
"308","wand_u07c","17 Mana stolen on hit","17"
"309","wand_u07c","5% chance to cast Blinding Cloud from target","5"
"310","wand_u07c","5% chance to cast Glacial Spike from target","5"
"311","wand_u07c","+6% to All Damage","6"
"312","wand_u07c","1% chance to charm target for 20 sec.","1"
"313","wand_u07x","+10 Knockback","10"
"314","wand_u07x","2% increase in magic-finding Luck","2"
"315","wand_u07x","+2m to Bow, Crossbow, Pistol and Wand range","2"
"316","wand_u07x","All Damage Taken is reduced by -1,1% ","1"
"317","wand_u07x","15% chance to cast Blinding Cloud from target","15"
"318","wand_u07x","+6% to All Damage","6"
"319","wand_u07_set_wintersreach","+5% Attack Speed","5"
"320","wand_u07_set_wintersreach","+6% Cast Speed","6"
"321","wand_u07_set_wintersreach","+4% Critical Hit Chance","4"
"322","wand_u07_set_wintersreach","-59 to All Armor per hit","59"
"323","wand_u07_set_wintersreach","10% chance to Freeze for 5 sec.","10"
"324","wand_u07_set_wintersreach","10% chance to immobilize Target for 4 sec.","10"
"325","wand_um05x","10% chance to Burn for 5 sec.","10"
"326","wand_um05x","4% chance that target Flees for 3 sec.","4"
"327","wand_um05x","+10% to Fire Damage","10"
"328","wand_um05x","5% chance to cast Fire Storm from target","5"
"329","zzz_grells_wand1","2~3 Mana stolen on hit","2"
"330","zzz_grells_wand1","+6% Cast Speed","6"
"331","zzz_grells_wand1","4% chance that target Flees for 3 sec.","4"
"332","zzz_grells_wand2","2~3 Mana stolen on hit","2"
"333","zzz_grells_wand2","+6% Cast Speed","6"
"334","zzz_grells_wand2","4% chance that target Flees for 3 sec.","4"
"335","z_wand_m01_set","+4~6% to Fire Damage","4"
"336","z_wand_m01_set","+15% chance to Execute","15"
"337","Accuracy Potion","+20% Critical Hit Chance for 120 sec.","20"
"338","Armor Potion","+100% to Physical Armor for 120 sec.","100"
"339","elixir_dexterity","Permanently increases Dexterity by 1","1"
"340","elixir_focus","Permanently increases Focus by 1","1"
"341","elixir_strength","Permanently increases Strength by 1","1"
"342","elixir_vitality","Permanently increases Vitality by 1","1"
"343","Fish Potion","600 Health recovery over 2 sec.","600"
"344","Fish Potion","29 Mana recovery over 2 sec.","29"
"345","Fish Potion 2","1200 Health recovery over 1 sec.","1200"
"346","Fish Potion 2"," 48 Mana recovery over 1 sec.","48"
"347","fish_caves_01","+10% chance to Block for 300 sec.","10"
"348","fish_caves_02","+1 Dexterity Attribute bonus for always","1"
"349","fish_crypts_01","+20% to Poison Damage for 300 sec.","20"
"350","fish_crypts_01","Poison Damage Taken is reduced by -20% for 300 sec.","20"
"351","fish_crypts_02","+1 Focus Attribute bonus for always","1"
"352","fish_fortress_01","+25% to Physical Armor for 300 sec.","25"
"353","fish_fortress_02","+1 Vitality Attribute bonus for always","1"
"354","fish_lava_01","+20% to Fire Damage for 300 sec.","20"
"355","fish_lava_01","Fire Damage Taken is reduced by -20% for 300 sec.","20"
"356","fish_lava_02","+1 Strength Attribute bonus for always","1"
"357","fish_mines_01","20% increase in the amount of experience gained for 300 sec.","20"
"358","fish_mines_02","50% increased Fishing Luck for 1200 sec.","50"
"359","fish_palace_01","+20% to Electric Damage for 300 sec.","20"
"360","fish_palace_01","Electric Damage Taken is reduced by -20% for 300 sec.","20"
"361","fish_palace_02","25% increase in magic-finding Luck for 3600 sec.","25"
"362","fish_ruins_01","+20% to Ice Damage for 300 sec.","20"
"363","fish_ruins_01","Ice Damage Taken is reduced by -20% for 300 sec.","20"
"364","fish_ruins_02","1% Knock Back Resistance for 3600 sec.","1"
"365","Health Potion 6","5400 Health recovery over 8 sec.","5400"
"366","Health Potion 7","6300 Health recovery over 8 sec.","6300"
"367","Health Potion 8","7200 Health recovery over 8 sec.","7200"
"368","Health Potion","900 Health recovery over 8 sec.","900"
"369","Health Potion 2","1800 Health recovery over 8 sec.","1800"
"370","Health Potion 3","2700 Health recovery over 8 sec.","2700"
"371","Health Potion 4","3600 Health recovery over 8 sec.","3600"
"372","Health Potion 5","4500 Health recovery over 8 sec.","4500"
"373","Luck Potion","100% increase in magic-finding Luck for 60 sec.","100"
"374","Mana Potion 6","150 Mana recovery over 8 sec.","150"
"375","Mana Potion 7","170 Mana recovery over 8 sec.","170"
"376","Mana Potion 8","190 Mana recovery over 8 sec.","190"
"377","Mana Potion","50 Mana recovery over 8 sec.","50"
"378","Mana Potion 2","70 Mana recovery over 8 sec.","70"
"379","Mana Potion 3","90 Mana recovery over 8 sec.","90"
"380","Mana Potion 4","110 Mana recovery over 8 sec.","110"
"381","Mana Potion 5","130 Mana recovery over 8 sec.","130"
"382","Brom`s Roughhide Tonic","Permanently increases Vitality by 2","2"
"383","Overseer`s Eye","Permanently increases Health by 25","25"
"384","Rejuv Potion 2","1800 Health recovery over 2 sec.","1800"
"385","Rejuv Potion 2","75 Mana recovery over 2 sec.","75"
"386","Rejuv Potion 3","2700 Health recovery over 2 sec.","2700"
"387","Rejuv Potion 3","100 Mana recovery over 2 sec.","100"
"388","Rejuv Potion 4","3600 Health recovery over 2 sec.","3600"
"389","Rejuv Potion 4","125 Mana recovery over 2 sec.","125"
"390","Rejuv Potion 5","4500 Health recovery over 2 sec.","4500"
"391","Rejuv Potion 5","150 Mana recovery over 2 sec.","150"
"392","Rejuv Potion 6","5400 Health recovery over 2 sec.","5400"
"393","Rejuv Potion 6","175 Mana recovery over 2 sec.","175"
"394","Rejuv Potion 7","6300 Health recovery over 2 sec.","6300"
"395","Rejuv Potion 7","200 Mana recovery over 2 sec.","200"
"396","Rejuv Potion 8","7200 Health recovery over 2 sec.","7200"
"397","Rejuv Potion 8","225 Mana recovery over 2 sec.","225"
"398","Rejuv Potion","900 Health recovery over 2 sec.","900"
"399","Rejuv Potion","50 Mana recovery over 2 sec.","50"
"400","Resist Electricity Potion","+155 Electric Armor for 300 sec.","155"
"401","Resist Fire Potion","+155 Fire Armor for 300 sec.","155"
"402","Resist Ice Potion","+155 Ice Armor for 300 sec.","155"
"403","Resist Poison Potion","+155 Poison Armor for 300 sec.","155"
"404","RespecPotion","Refund all Skill Points",""
"405","Witch_Potion","-243602 Health recovery over 800 sec.","243602"
"406","Fish Bones","Weapon: 4 Health recovery per second","4"
"407","Devil Fish","Weapon: +5% Attack Speed","5"
"408","Unicorn Fish","Weapon: +2~3% Critical Hit Chance","2"
"409","Quest_ManaVent_Acquire","Weapon: Physical Damage Taken is reduced by -3%","3"
"410","Quest_ManaVent_Acquire","Weapon: 2 Mana recovery per second","2"
"411","Quest_ManaVent_Reward","Weapon: 10 Mana stolen on hit","10"
"412","Quest_ManaVent_Reward"," Charge  rate increased by 5%","5"
"413","tl2_claptrapbolt","Weapon: 5% chance to Shock for 5 sec.","5"
"414","tl2_claptrapbolt","Armor/Trinket:  Charge  rate increased by 10%","10"
"415","tl2_claptrapnut","Armor/Trinket:  Charge  decay rate decreased by -20%","20"
"416","tl2_claptrapnut","Weapon: 15% reduction in Fumble Chance","15"
"417","tl2_dragon_heartfire","Armor/Trinket: 1% chance to cast Call Forth the Skull when you get hit","1"
"418","tl2_dragon_heartfire","Weapon: 5% chance to cast Meteor Strike on kill","5"
"419","tl2_eyecacklespit","Weapon: 9% reduction in Fumble Chance","9"
"420","tl2_eyecacklespit","Armor/Trinket: 1% increase in the amount of experience gained","1"
"421","tl2_eyeoboletus","Weapon: +3% Cast Speed","3"
"422","tl2_eyeoboletus","Armor/Trinket: +15% to Poison Damage","15"
"423","tl2_eyeofariki_tara","Armor/Trinket: -4,5% Physical Damage Taken for each monster within 3m","4"
"424","tl2_eyeofariki_tara","Weapon: 4% chance to Stun target for 5 sec.","4"
"425","tl2_eyeofbloatfang","Armor/Trinket: +15% Potion effectiveness","15"
"426","tl2_eyeofbloatfang","Weapon: 6% chance to immobilize Target for 8 sec.","6"
"427","tl2_eyeofdarkalchemist","Weapon: 480 Physical Damage over 5 sec.","480"
"428","tl2_eyeofdarkalchemist","Armor/Trinket: 2 Mana recovery per second","2"
"429","tl2_eyeofelderkuru","Weapon: +18 Electric Damage","18"
"430","tl2_eyeofelderkuru","Armor/Trinket: +72 Health","72"
"431","tl2_eyeofeldrayn","+11 Poison Armor","11"
"432","tl2_eyeofeldrayn","+11 Ice Armor","11"
"433","tl2_eyeofeldrayn","+11 Fire Armor","11"
"434","tl2_eyeofeldrayn","+11 Electric Armor","11"
"435","tl2_eyeofeldrayn","Weapon: 4 Mana stolen on hit","4"
"436","tl2_eyeofezrek_khan","Weapon: 5% chance to Shock for 5 sec.","5"
"437","tl2_eyeofezrek_khan","Armor/Trinket: +8% Wand and Staff Damage bonus","8"
"438","tl2_eyeofgallo","Weapon: +10% Potion effectiveness","10"
"439","tl2_eyeofgallo","Weapon: 93 Health stolen on hit","93"
"440","tl2_eyeofgrell","Weapon: +3% Critical Hit Chance","3"
"441","tl2_eyeofgrell","Armor/Trinket: All Damage Taken is reduced by -3%","3"
"442","tl2_eyeofgrom","Armor/Trinket: 2% increase in magic-finding Luck","2"
"443","tl2_eyeofgrom","Weapon: 10% chance to Stun target for 2 sec.","10"
"444","tl2_eyeofgunnbren","Weapon: +20 Fire Damage","20"
"445","tl2_eyeofgunnbren","Armor/Trinket: +15% to Fire Damage","15"
"446","tl2_eyeofjuthama_kasam","Armor/Trinket: +15% pet and minion Damage","15"
"447","tl2_eyeofjuthama_kasam","Weapon: 95 Physical Damage over 5 sec.","95"
"448","tl2_eyeofkidrik","Weapon: +8% Attack Speed","8"
"449","tl2_eyeofkidrik","Armor/Trinket: +10% pet and minion Armor","10"
"450","tl2_eyeofkidrik","Armor/Trinket: +10% pet and minion Damage","10"
"451","tl2_eyeofkingpogg","Weapon: +1% Dodge chance","1"
"452","tl2_eyeofkingpogg","Weapon: +5% Attack Speed","5"
"453","tl2_eyeofmordrox","Weapon: Poison Damage Taken is reduced by -6%","6"
"454","tl2_eyeofmordrox","Weapon: +10 Poison Damage","10"
"455","tl2_eyeofnetherlord","10% chance to cast Raise Shadowling on kill","10"
"456","tl2_eyeofnetherlord","Armor/Trinket: 50% Slow Resistance","50"
"457","tl2_eyeofsister_aleera","Weapon: 5% chance to cast Glacial Spike from target","5"
"458","tl2_eyeofsister_aleera","Armor/Trinket: +14 Strength Attribute bonus","14"
"459","tl2_eyeofsister_marishka","Armor/Trinket: +14 Dexterity Attribute bonus","14"
"460","tl2_eyeofsister_marishka","Weapon: 5% chance to cast Raise Shadowling on kill","5"
"461","tl2_eyeofsister_verona","Armor/Trinket: +14 Focus Attribute bonus","14"
"462","tl2_eyeofsister_verona","Weapon: 5% chance to cast Fire Storm from target","5"
"463","tl2_eyeofstennbrun","Weapon: +15 Ice Damage","15"
"464","tl2_eyeofstennbrun","Armor/Trinket: +15% to Ice Damage","15"
"465","tl2_eyeoftheartificer","Weapon: 1% chance to charm target for 40 sec.","1"
"466","tl2_eyeoftheartificer","Armor/Trinket: 1% increase in the amount of experience gained","1"
"467","tl2_eyeofthekillbot","Armor/Trinket: -3% Physical Damage Taken for each monster within 3m","3"
