pak_offset	unc	path
25607	484	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTDAMAGE7.DAT
25899	506	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTKNOCKBACKRESIST.DAT
26195	508	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTKNOCKBACKRESIST2.DAT
26496	508	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTKNOCKBACKRESIST3.DAT
26797	508	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTKNOCKBACKRESIST4.DAT
27096	508	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTKNOCKBACKRESIST5.DAT
27395	508	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTKNOCKBACKRESIST6.DAT
27696	508	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTKNOCKBACKRESIST7.DAT
27998	480	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTPETARMOR.DAT
28273	482	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTPETARMOR2.DAT
28553	482	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTPETARMOR3.DAT
28831	482	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTPETARMOR4.DAT
29110	482	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTPETARMOR5.DAT
29389	482	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTPETARMOR6.DAT
29668	482	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTPETARMOR7.DAT
29947	484	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTPETDAMAGE.DAT
30229	486	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTPETDAMAGE2.DAT
30515	486	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTPETDAMAGE3.DAT
30800	486	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTPETDAMAGE4.DAT
31086	486	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTPETDAMAGE5.DAT
31372	486	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTPETDAMAGE6.DAT
31658	486	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_PERCENTPETDAMAGE7.DAT
31944	482	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_POTIONEFFICIENCY.DAT
32226	484	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_POTIONEFFICIENCY2.DAT
32512	484	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_POTIONEFFICIENCY3.DAT
32797	484	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_POTIONEFFICIENCY4.DAT
33083	484	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_POTIONEFFICIENCY5.DAT
33369	484	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_POTIONEFFICIENCY6.DAT
33655	484	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_POTIONEFFICIENCY7.DAT
33942	452	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_SPEED.DAT
34219	454	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_SPEED2.DAT
34501	474	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_SPEED3.DAT
34795	454	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_SPEED4.DAT
35078	454	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_SPEED5.DAT
35361	454	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_SPEED6.DAT
35644	454	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_ARMOR_SPEED7.DAT
35928	468	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_ATTACKSPEED.DAT
36218	470	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_ATTACKSPEED2.DAT
36510	470	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_ATTACKSPEED3.DAT
36804	470	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_ATTACKSPEED4.DAT
37098	470	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_ATTACKSPEED5.DAT
37392	470	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_ATTACKSPEED6.DAT
37686	470	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_ATTACKSPEED7.DAT
37980	460	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CASTSPEED.DAT
38263	462	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CASTSPEED2.DAT
38550	462	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CASTSPEED3.DAT
38837	462	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CASTSPEED4.DAT
39125	462	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CASTSPEED5.DAT
39410	462	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CASTSPEED6.DAT
39695	462	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CASTSPEED7.DAT
39982	456	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CRITCHANCE.DAT
40258	458	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CRITCHANCE2.DAT
40539	458	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CRITCHANCE3.DAT
40820	458	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CRITCHANCE4.DAT
41101	458	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CRITCHANCE5.DAT
41382	458	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CRITCHANCE6.DAT
41662	458	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CRITCHANCE7.DAT
41945	472	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CRITDAMAGE.DAT
42233	474	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CRITDAMAGE2.DAT
42527	474	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CRITDAMAGE3.DAT
42821	474	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CRITDAMAGE4.DAT
43115	474	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CRITDAMAGE5.DAT
43409	474	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CRITDAMAGE6.DAT
43703	474	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_CRITDAMAGE7.DAT
43998	462	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_DUALWIELD.DAT
44280	464	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_DUALWIELD2.DAT
44566	464	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_DUALWIELD3.DAT
44851	464	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_DUALWIELD4.DAT
45138	464	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_DUALWIELD5.DAT
45425	464	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_DUALWIELD6.DAT
45712	464	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_DUALWIELD7.DAT
46001	476	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_EXECTUE.DAT
46305	478	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_EXECTUE2.DAT
46614	478	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_EXECTUE3.DAT
46923	478	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_EXECTUE4.DAT
47232	478	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_EXECTUE5.DAT
47541	478	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_EXECTUE6.DAT
47850	478	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_EXECTUE7.DAT
48159	452	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_KNOCKBACK.DAT
48439	454	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_KNOCKBACK2.DAT
48723	454	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_KNOCKBACK3.DAT
49007	454	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_KNOCKBACK4.DAT
49291	454	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_KNOCKBACK5.DAT
49576	454	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_KNOCKBACK6.DAT
49860	454	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_KNOCKBACK7.DAT
50145	468	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_MISSILERANGE.DAT
50424	470	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_MISSILERANGE2.DAT
50710	470	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_MISSILERANGE3.DAT
50996	470	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_MISSILERANGE4.DAT
51283	470	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_MISSILERANGE5.DAT
51570	470	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_MISSILERANGE6.DAT
51853	470	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_MISSILERANGE7.DAT
52141	456	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_SILENCE.DAT
52420	462	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_SILENCE2.DAT
52707	462	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_SILENCE3.DAT
52997	462	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_SILENCE4.DAT
53286	462	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_SILENCE5.DAT
53576	462	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_SILENCE6.DAT
53866	458	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_SILENCE7.DAT
54153	462	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_SPLASH.DAT
54441	464	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_SPLASH2.DAT
54733	464	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_SPLASH3.DAT
55025	464	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_SPLASH4.DAT
55318	464	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_SPLASH5.DAT
55611	464	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_SPLASH6.DAT
55904	464	MEDIA/AFFIXES/GEMS/GEM_CHAOSEMBER_WEAPON_SPLASH7.DAT
56199	356	MEDIA/AFFIXES/GEMS/GEM_CITRINE.DAT
56451	410	MEDIA/AFFIXES/GEMS/GEM_CITRINE_ARMOR.DAT
56718	356	MEDIA/AFFIXES/GEMS/GEM_DIAMOND.DAT
56969	362	MEDIA/AFFIXES/GEMS/GEM_DIAMOND_ARMOR.DAT
57208	352	MEDIA/AFFIXES/GEMS/GEM_EMERALD.DAT
57458	398	MEDIA/AFFIXES/GEMS/GEM_EMERALD_ARMOR.DAT
57724	310	MEDIA/AFFIXES/GEMS/GEM_EYE.DAT
57941	430	MEDIA/AFFIXES/GEMS/GEM_EYEOFGALLO_LIFESTEAL.DAT
58221	342	MEDIA/AFFIXES/GEMS/GEM_EYE_ARMOR.DAT
58451	398	MEDIA/AFFIXES/GEMS/GEM_FISH_BONE.DAT
58722	458	MEDIA/AFFIXES/GEMS/GEM_FISH_DEVIL.DAT
59030	452	MEDIA/AFFIXES/GEMS/GEM_FISH_UNICORN.DAT
59333	444	MEDIA/AFFIXES/GEMS/GEM_IRONEMBER_ARMOR_ARMOR.DAT
59597	490	MEDIA/AFFIXES/GEMS/GEM_IRONEMBER_ARMOR_MELEEDAMAGE.DAT
59884	496	MEDIA/AFFIXES/GEMS/GEM_IRONEMBER_ARMOR_MISSILEDAMAGE.DAT
60180	458	MEDIA/AFFIXES/GEMS/GEM_IRONEMBER_ARMOR_THORNS.DAT
60465	448	MEDIA/AFFIXES/GEMS/GEM_IRONEMBER_WEAPON_DAMAGEBONUS.DAT
60737	452	MEDIA/AFFIXES/GEMS/GEM_IRONEMBER_WEAPON_DEGRADEARMOR.DAT
61005	330	MEDIA/AFFIXES/GEMS/GEM_PEARL.DAT
61240	388	MEDIA/AFFIXES/GEMS/GEM_PEARL_ARMOR.DAT
61500	342	MEDIA/AFFIXES/GEMS/GEM_RUBY.DAT
61745	384	MEDIA/AFFIXES/GEMS/GEM_RUBY_ARMOR.DAT
62004	348	MEDIA/AFFIXES/GEMS/GEM_SAPHIRE.DAT
62247	388	MEDIA/AFFIXES/GEMS/GEM_SAPPHIRE_ARMOR.DAT
62509	314	MEDIA/AFFIXES/GEMS/GEM_SKULL.DAT
62731	350	MEDIA/AFFIXES/GEMS/GEM_SKULL_ARMOR.DAT
62965	442	MEDIA/AFFIXES/GEMS/GEM_UNIQUE_PERCENTLIFESTEAL.DAT
63255	436	MEDIA/AFFIXES/GEMS/GEM_VOIDEMBER_ARMOR_MANA.DAT
63520	472	MEDIA/AFFIXES/GEMS/GEM_VOIDEMBER_ARMOR_MANA_REGEN.DAT
63805	440	MEDIA/AFFIXES/GEMS/GEM_VOIDEMBER_WEAPON_MANASTEAL.DAT
64073	472	MEDIA/AFFIXES/GEMS/GEM_WEAPON_DAMAGE_ELECTRIC3.DAT
64367	472	MEDIA/AFFIXES/GEMS/GEM_WEAPON_DAMAGE_ELECTRIC5.DAT
64663	456	MEDIA/AFFIXES/GEMS/GEM_WEAPON_DAMAGE_FIRE3.DAT
64956	456	MEDIA/AFFIXES/GEMS/GEM_WEAPON_DAMAGE_FIRE5.DAT
65251	452	MEDIA/AFFIXES/GEMS/GEM_WEAPON_DAMAGE_ICE3.DAT
65543	452	MEDIA/AFFIXES/GEMS/GEM_WEAPON_DAMAGE_ICE5.DAT
65837	464	MEDIA/AFFIXES/GEMS/GEM_WEAPON_DAMAGE_POISON3.DAT
66128	464	MEDIA/AFFIXES/GEMS/GEM_WEAPON_DAMAGE_POISON5.DAT
66421	322	MEDIA/AFFIXES/ITEMS/ADD_ANY_200.DAT
66642	320	MEDIA/AFFIXES/ITEMS/ADD_ANY_25.DAT
66863	378	MEDIA/AFFIXES/ITEMS/ADD_ANY_250_ATTACKSPEED.DAT
67120	350	MEDIA/AFFIXES/ITEMS/ADD_ANY_250_CRIT.DAT
67359	370	MEDIA/AFFIXES/ITEMS/ADD_ANY_250_DAMAGEPCT.DAT
67611	346	MEDIA/AFFIXES/ITEMS/ADD_ANY_250_DOT.DAT
67847	370	MEDIA/AFFIXES/ITEMS/ADD_ANY_250_DUALWIELD.DAT
68100	362	MEDIA/AFFIXES/ITEMS/ADD_ANY_250_EXECUTE.DAT
68346	354	MEDIA/AFFIXES/ITEMS/ADD_ANY_250_IMMOB.DAT
68587	370	MEDIA/AFFIXES/ITEMS/ADD_ANY_250_KNOCKBACK.DAT
68835	370	MEDIA/AFFIXES/ITEMS/ADD_ANY_250_LIFESTEAL.DAT
69089	370	MEDIA/AFFIXES/ITEMS/ADD_ANY_250_MANASTEAL.DAT
69337	382	MEDIA/AFFIXES/ITEMS/ADD_ANY_250_MISSILERANGE.DAT
69593	398	MEDIA/AFFIXES/ITEMS/ADD_ANY_250_PROC_CHAOTICRIFT.DAT
69865	386	MEDIA/AFFIXES/ITEMS/ADD_ANY_250_PROC_FULLHEAL.DAT
70132	390	MEDIA/AFFIXES/ITEMS/ADD_ANY_250_PROC_STORMCLAW.DAT
70399	378	MEDIA/AFFIXES/ITEMS/ADD_ANY_250_PROC_ZOMBIE.DAT
70658	386	MEDIA/AFFIXES/ITEMS/ADD_ANY_250_SHIELDBREAKER.DAT
